,Station,Latitude,Longitude
0,Astore,35.2411043,74.87497267
1,Badin,24.7566588,68.84961066
2,Balakot,34.51928895,73.3537154
3,Barkhan,29.9003125,69.5230398
4,Bunji,35.6527032,74.6287283
5,Cherat,33.8241769,71.8965727
6,DI khan,31.827527,70.9090919
7,Dalbandin,28.8963483,64.4097124
8,Dir,35.2080144,71.8779773
9,Drosh,35.5616271,71.797564
10,Faisalabad,31.4220558,73.0923253
11,Gilgit,35.8858919,74.4693848
12,Gupis,36.177172,73.1795694
13,Hyderabad,25.3801017,68.3750376
14,Islamabad,33.6938118,73.0651511
15,Jacobabad,28.2813094,68.4364361
16,Jhelum,32.9247256,73.719388
17,Kakul,34.2036015,73.282008
18,Karachi,24.8546842,67.0207055
19,Khanpur,28.6477403,70.656008
20,Kohat,33.5967144,71.4399944
21,Kotli,33.5216412,73.9076096
22,Lahore,31.5656822,74.3141829
23,Mianwali,32.5705533,71.5239763
24,Multan,30.197838,71.4719683
25,Murree,33.9056829,73.392674
26,Muzaffarabad,34.3734751,73.4702407
27,Nawabshah,26.2452915,68.4040229
28,Nokkundi,28.8239333,62.7454306
29,Padidan,26.7819818,68.2796342
30,Panjgur,26.9616074,64.1153339
31,Parachinar,33.8967938,70.1000564
32,Pasni,25.264384,63.4723455
33,Peshawar,34.0123846,71.5787458
34,Quetta,30.1957677,67.0172447
35,Rohri,27.6776538,68.9124229
36,Saidu Sharif,34.7447334,72.3562789
37,Sargodha,32.0889657,72.6776943
38,Sialkot,32.4935378,74.5411575
39,Sibi,29.5500097,67.8833398
40,Skardu,35.2875284,75.6074375
41,DG khan,30.0321374,70.6401114
